1,294,Seamless content-based function,VERY_EASY,VERY_DIFFICULT,VERY_EASY,6.82,http://dummyimage.com/194x160.bmp/5fa2dd/ffffff,true
2,317,Customer-focused contextually-based conglomeration,VERY_DIFFICULT,EASY,VERY_EASY,19.18,http://dummyimage.com/132x101.png/cc0000/ffffff,true
3,868,User-centric logistical array,AVERAGE,EASY,VERY_DIFFICULT,10.61,http://dummyimage.com/121x164.bmp/cc0000/ffffff,true
4,117,Digitized optimizing protocol,DIFFICULT,VERY_DIFFICULT,EASY,1.52,http://dummyimage.com/114x158.png/5fa2dd/ffffff,false
5,346,Robust explicit installation,VERY_EASY,VERY_EASY,EASY,18.87,http://dummyimage.com/158x178.jpg/ff4444/ffffff,true
6,35,Organic systemic task-force,VERY_DIFFICULT,EASY,EASY,13.69,http://dummyimage.com/129x137.jpg/5fa2dd/ffffff,true
7,359,Switchable multimedia pricing structure,VERY_DIFFICULT,DIFFICULT,VERY_DIFFICULT,10.63,http://dummyimage.com/164x173.png/dddddd/000000,true
8,690,Monitored intangible policy,EASY,VERY_DIFFICULT,VERY_DIFFICULT,9.74,http://dummyimage.com/148x196.jpg/dddddd/000000,false
9,18,Cross-group radical local area network,AVERAGE,VERY_EASY,VERY_EASY,11.76,,true
10,16,Realigned foreground implementation,DIFFICULT,EASY,EASY,11.1,http://dummyimage.com/124x227.jpg/ff4444/ffffff,false
11,774,Integrated national focus group,AVERAGE,VERY_EASY,AVERAGE,15.96,http://dummyimage.com/194x202.bmp/cc0000/ffffff,true
12,7,Digitized responsive productivity,DIFFICULT,DIFFICULT,VERY_EASY,14.49,http://dummyimage.com/169x204.jpg/5fa2dd/ffffff,true
13,457,Re-engineered user-facing collaboration,AVERAGE,VERY_DIFFICULT,VERY_EASY,13.17,http://dummyimage.com/148x132.bmp/dddddd/000000,true
14,974,Persevering multi-tasking flexibility,DIFFICULT,VERY_DIFFICULT,VERY_EASY,4.27,http://dummyimage.com/225x198.png/ff4444/ffffff,true
15,629,Progressive asymmetric moderator,VERY_EASY,EASY,VERY_EASY,12.91,http://dummyimage.com/212x212.jpg/cc0000/ffffff,true
16,721,Profit-focused intangible solution,VERY_EASY,AVERAGE,DIFFICULT,1.51,http://dummyimage.com/184x143.png/cc0000/ffffff,true
17,843,Expanded system-worthy open architecture,DIFFICULT,VERY_DIFFICULT,EASY,12.35,,false
18,785,Synergistic dynamic forecast,VERY_EASY,AVERAGE,EASY,17.18,http://dummyimage.com/191x158.jpg/ff4444/ffffff,false
19,975,Operative asynchronous installation,DIFFICULT,EASY,AVERAGE,1.18,http://dummyimage.com/195x187.bmp/dddddd/000000,true
20,232,Reduced high-level forecast,EASY,VERY_EASY,AVERAGE,12.15,http://dummyimage.com/220x153.jpg/ff4444/ffffff,false
21,286,Horizontal contextually-based challenge,EASY,VERY_DIFFICULT,EASY,6.44,http://dummyimage.com/124x206.jpg/5fa2dd/ffffff,false
22,597,Customer-focused didactic matrices,EASY,VERY_EASY,VERY_EASY,18.22,,true
23,900,Devolved hybrid workforce,AVERAGE,AVERAGE,DIFFICULT,13.77,http://dummyimage.com/225x125.bmp/cc0000/ffffff,true
24,154,Upgradable dynamic info-mediaries,AVERAGE,VERY_DIFFICULT,VERY_EASY,17.89,http://dummyimage.com/124x150.jpg/5fa2dd/ffffff,false
25,702,Function-based radical database,EASY,VERY_EASY,EASY,14.36,,true
26,652,Focused 24/7 ability,DIFFICULT,VERY_EASY,VERY_EASY,1.34,,true
27,885,Realigned didactic secured line,VERY_DIFFICULT,VERY_EASY,DIFFICULT,11.42,,false
